Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	16:58 1/3/2021	154
Mike	16:58 1/3/2021	122
Mike	17:11 1/3/2021	139
Jim	17:11 1/3/2021	180
Mike	0:7 1/4/2021	108
Mike	11:13 1/4/2021	157
Tom	21:48 2/5/2021	152
TomH	21:48 2/5/2021	177
We	10:38 2/19/2021	96
b	10:38 2/19/2021	146
A	10:38 2/19/2021	128
Mike	11:12 2/19/2021	150
A	11:13 2/19/2021	94
We	11:14 2/19/2021	104
A	11:14 2/19/2021	211
Mike	11:15 2/19/2021	152
We	11:15 2/19/2021	103
A	1:32 2/20/2021	157
We	1:32 2/20/2021	170
We	1:33 2/20/2021	47
A	1:33 2/20/2021	31
A	1:37 2/20/2021	89
We	1:37 2/20/2021	101
Mike	1:40 2/20/2021	130
We	1:40 2/20/2021	122
A	1:40 2/20/2021	130
b	1:40 2/20/2021	136
Mike	1:41 2/20/2021	27
A	1:41 2/20/2021	26
Mike	1:45 2/20/2021	121
We	1:45 2/20/2021	141
A	1:45 2/20/2021	135
b	1:45 2/20/2021	79
Mike	1:51 2/20/2021	113
We	1:51 2/20/2021	131
A	1:51 2/20/2021	107
b	1:51 2/20/2021	144
b	1:51 2/20/2021	36
We	1:51 2/20/2021	39
Mike	1:29 2/20/2021	99
We	3:17 2/20/2021	155
Mike	3:17 2/20/2021	131
A	3:17 2/20/2021	114
Mike	3:17 2/20/2021	137
We	3:17 2/20/2021	131
A	3:17 2/20/2021	124
b	3:17 2/20/2021	138
hi	3:17 2/20/2021	134
We	3:17 2/20/2021	132
Mike	3:18 2/20/2021	82
b	3:18 2/20/2021	23
Mike	3:18 2/20/2021	0
A	3:18 2/20/2021	116
